innings,Batsman,Runs,Balls,Minutes,fours,sixes,SR,out,id
New Zealand,Lockie Ferguson,6,3,2,0,1,200.00,c †Rahul b Mohammed Shami,4703
India,Rohit Sharma,61,54,74,8,2,112.96,c Barresi b de Leede,4702
India,Shubman Gill,51,32,49,3,4,159.37,c Nidamanuru b van Meekeren,4702
India,Virat Kohli,51,56,69,5,1,91.07, b van der Merwe,4702
India,Shreyas Iyer,128,94,145,10,5,136.17,null,4702
India,KL Rahul,102,64,98,11,4,159.37,c Engelbrecht b de Leede,4702
India,Suryakumar Yadav,2,1,1,0,0,200.00,null,4702
Netherlands,Wesley Barresi,4,5,8,0,0,80.00,c †Rahul b Mohammed Siraj,4702
Netherlands,Max O'Dowd,30,42,68,3,1,71.42, b Jadeja,4702
Netherlands,Colin Ackermann,35,32,46,6,0,109.37,lbw b Kuldeep Yadav,4702
Netherlands,Sybrand Engelbrecht,45,80,87,4,0,56.25, b Mohammed Siraj,4702
Netherlands,Scott Edwards,17,30,27,1,0,56.66,c †Rahul b Kohli,4702
Netherlands,Bas de Leede,12,21,23,1,0,57.14, b Bumrah,4702
Netherlands,Teja Nidamanuru,54,39,65,1,6,138.46,c Mohammed Shami b Sharma,4702
Netherlands,Logan van Beek,16,15,20,2,0,106.66, b Kuldeep Yadav,4702
Netherlands,Roelof van der Merwe,16,8,5,1,2,200.00,c Mohammed Shami b Jadeja,4702
Netherlands,Aryan Dutt,5,11,9,0,0,45.45, b Bumrah,4702
Netherlands,Paul van Meekeren,3,4,7,0,0,75.00,null,4702
England,Dawid Malan,31,39,61,5,0,79.48,c †Mohammad Rizwan b Iftikhar Ahmed,4701
England,Jonny Bairstow,59,61,81,7,1,96.72,c Agha Salman b Haris Rauf,4701
England,Joe Root,60,72,115,4,0,83.33,c Shadab Khan b Shaheen Shah Afridi,4701
England,Ben Stokes,84,76,85,11,2,110.52, b Shaheen Shah Afridi,4701
England,Jos Buttler,27,18,39,3,1,150.00,run out (Haris Rauf),4701
England,Harry Brook,30,17,24,2,2,176.47,c Shaheen Shah Afridi b Haris Rauf,4701
England,Moeen Ali,8,6,10,0,1,133.33, b Haris Rauf,4701
England,Chris Woakes,4,4,19,1,0,100.00,null,4701
England,David Willey,15,5,5,2,1,300.00,c Iftikhar Ahmed b Mohammad Wasim,4701
England,Gus Atkinson,0,1,1,0,0,0.00, b Mohammad Wasim,4701
England,Adil Rashid,0,1,1,0,0,0.00,null,4701
Pakistan,Abdullah Shafique,0,2,2,0,0,0.00,lbw b Willey,4701
Pakistan,Fakhar Zaman,1,9,13,0,0,11.11,c Stokes b Willey,4701
Pakistan,Babar Azam,38,45,58,6,0,84.44,c Rashid b Atkinson,4701
Pakistan,Mohammad Rizwan,36,51,78,2,0,70.58, b Ali,4701
Pakistan,Saud Shakeel,29,37,52,4,0,78.37, b Rashid,4701
Pakistan,Agha Salman,51,45,53,6,1,113.33,c Stokes b Willey,4701
Pakistan,Iftikhar Ahmed,3,5,8,0,0,60.00,c Malan b Ali,4701
Pakistan,Shadab Khan,4,7,4,1,0,57.14, b Rashid,4701
Pakistan,Shaheen Shah Afridi,25,23,23,3,1,108.69,lbw b Atkinson,4701
Pakistan,Mohammad Wasim,16,14,33,2,1,114.28,null,4701
Pakistan,Haris Rauf,35,23,27,3,3,152.17,c Stokes b Woakes,4701
Bangladesh,Tanzid Hasan,36,34,55,6,0,105.88,c & b Abbott,4700
Bangladesh,Litton Das,36,45,76,5,0,80.00,c Labuschagne b Zampa,4700
Bangladesh,Najmul Hossain Shanto,45,57,59,6,0,78.94,run out (Labuschagne/†Inglis),4700
Bangladesh,Towhid Hridoy,74,79,121,5,2,93.67,c Labuschagne b Stoinis,4700
Bangladesh,Mahmudullah,32,28,34,1,3,114.28,run out (Labuschagne),4700
Bangladesh,Mushfiqur Rahim,21,24,27,0,1,87.50,c Cummins b Zampa,4700
Bangladesh,Mehidy Hasan Miraz,29,20,33,4,0,145.00,c Cummins b Abbott,4700
Bangladesh,Nasum Ahmed,7,11,15,0,0,63.63,run out (Abbott),4700
Bangladesh,Mahedi Hasan,2,3,4,0,0,66.66,null,4700
Bangladesh,Taskin Ahmed,0,1,2,0,0,0.00,null,4700
Australia,Travis Head,10,11,11,2,0,90.90, b Taskin Ahmed,4700
Australia,David Warner,53,61,90,6,0,86.88,c Najmul Hossain Shanto b Mustafizur Rahman,4700
Australia,Mitchell Marsh,177,132,177,17,9,134.09,null,4700
Australia,Steven Smith,63,64,99,4,1,98.43,null,4700
Afghanistan,Rahmanullah Gurbaz,25,22,45,3,1,113.63,c Klaasen b Maharaj,4699
Afghanistan,Ibrahim Zadran,15,30,52,3,0,50.00,c †de Kock b Coetzee,4699
Afghanistan,Rahmat Shah,26,46,58,2,0,56.52,c Miller b Ngidi,4699
Afghanistan,Hashmatullah Shahidi,2,7,5,0,0,28.57,c †de Kock b Maharaj,4699
Afghanistan,Azmatullah Omarzai,97,107,173,7,3,90.65,null,4699
Afghanistan,Ikram Alikhil,12,14,16,1,1,85.71,c †de Kock b Coetzee,4699
Afghanistan,Mohammad Nabi,2,3,7,0,0,66.66,c †de Kock b Ngidi,4699
Afghanistan,Rashid Khan,14,30,42,0,0,46.66,c †de Kock b Phehlukwayo,4699
Afghanistan,Noor Ahmad,26,32,36,4,0,81.25,c †de Kock b Coetzee,4699
Afghanistan,Mujeeb Ur Rahman,8,5,7,0,1,160.00,c Markram b Coetzee,4699
Afghanistan,Naveen-ul-Haq,2,4,12,0,0,50.00,run out (Rabada),4699
South Africa,Quinton de Kock,41,47,58,2,3,87.23,lbw b Mohammad Nabi,4699
South Africa,Temba Bavuma,23,28,49,3,0,82.14,c Rahmanullah Gurbaz b Mujeeb Ur Rahman,4699
South Africa,Rassie van der Dussen,76,95,141,6,1,80.00,null,4699
South Africa,Aiden Markram,25,32,32,1,1,78.12,c Naveen-ul-Haq b Rashid Khan,4699
South Africa,Heinrich Klaasen,10,13,15,1,0,76.92, b Rashid Khan,4699
South Africa,David Miller,24,33,35,1,1,72.72,c & b Mohammad Nabi,4699
South Africa,Andile Phehlukwayo,39,37,46,1,3,105.40,null,4699
Sri Lanka,Pathum Nissanka,2,8,9,0,0,25.00,c †Latham b Southee,4698
